"Idp","Vel:0","Vel:1","Vel:2","Rhop","Type","Mk","Points:0","Points:1","Points:2"
403,0,0,0,1000,0,11,2.03,0,0
404,0,0,0,1000,0,11,2.04,0,0
405,0,0,0,1000,0,11,2.05,0,0
406,0,0,0,1000,0,11,2.06,0,0
407,0,0,0,1000,0,11,2.07,0,0
408,0,0,0,1000,0,11,2.08,0,0
409,0,0,0,1000,0,11,2.09,0,0
410,0,0,0,1000,0,11,2.1,0,0
411,0,0,0,1000,0,11,2.11,0,0
412,0,0,0,1000,0,11,2.12,0,0
413,0,0,0,1000,0,11,2.13,0,0
414,0,0,0,1000,0,11,2.14,0,0
415,0,0,0,1000,0,11,2.15,0,0
416,0,0,0,1000,0,11,2.16,0,0
417,0,0,0,1000,0,11,2.17,0,0
418,0,0,0,1000,0,11,2.18,0,0
419,0,0,0,1000,0,11,2.19,0,0
420,0,0,0,1000,0,11,2.2,0,0
421,0,0,0,1000,0,11,2.21,0,0
422,0,0,0,1000,0,11,2.22,0,0
423,0,0,0,1000,0,11,2.23,0,0
424,0,0,0,1000,0,11,2.24,0,0
425,0,0,0,1000,0,11,2.25,0,0
426,0,0,0,1000,0,11,2.26,0,0
427,0,0,0,1000,0,11,2.27,0,0
428,0,0,0,1000,0,11,2.28,0,0
429,0,0,0,1000,0,11,2.29,0,0
430,0,0,0,1000,0,11,2.3,0,0
431,0,0,0,1000,0,11,2.31,0,0
432,0,0,0,1000,0,11,2.32,0,0
433,0,0,0,1000,0,11,2.33,0,0
434,0,0,0,1000,0,11,2.34,0,0
435,0,0,0,1000,0,11,2.35,0,0
436,0,0,0,1000,0,11,2.36,0,0
437,0,0,0,1000,0,11,2.37,0,0
438,0,0,0,1000,0,11,2.38,0,0
439,0,0,0,1000,0,11,2.39,0,0
440,0,0,0,1000,0,11,2.4,0,0
441,0,0,0,1000,0,11,2.41,0,0
442,0,0,0,1000,0,11,2.42,0,0
443,0,0,0,1000,0,11,2.43,0,0
444,0,0,0,1000,0,11,2.44,0,0
445,0,0,0,1000,0,11,2.45,0,0
446,0,0,0,1000,0,11,2.46,0,0
447,0,0,0,1000,0,11,2.47,0,0
448,0,0,0,1000,0,11,2.48,0,0
449,0,0,0,1000,0,11,2.49,0,0
450,0,0,0,1000,0,11,2.5,0,0
451,0,0,0,1000,0,11,2.51,0,0
452,0,0,0,1000,0,11,2.52,0,0
453,0,0,0,1000,0,11,2.53,0,0
454,0,0,0,1000,0,11,2.54,0,0
455,0,0,0,1000,0,11,2.55,0,0
456,0,0,0,1000,0,11,2.56,0,0
457,0,0,0,1000,0,11,2.57,0,0
458,0,0,0,1000,0,11,2.58,0,0
459,0,0,0,1000,0,11,2.59,0,0
460,0,0,0,1000,0,11,2.6,0,0
461,0,0,0,1000,0,11,2.61,0,0
462,0,0,0,1000,0,11,2.62,0,0
463,0,0,0,1000,0,11,2.63,0,0
464,0,0,0,1000,0,11,2.64,0,0
465,0,0,0,1000,0,11,2.65,0,0
466,0,0,0,1000,0,11,2.66,0,0
467,0,0,0,1000,0,11,2.67,0,0
468,0,0,0,1000,0,11,2.68,0,0
469,0,0,0,1000,0,11,2.69,0,0
470,0,0,0,1000,0,11,2.7,0,0
471,0,0,0,1000,0,11,2.71,0,0
472,0,0,0,1000,0,11,2.72,0,0
473,0,0,0,1000,0,11,2.73,0,0
474,0,0,0,1000,0,11,2.74,0,0
475,0,0,0,1000,0,11,2.75,0,0
476,0,0,0,1000,0,11,2.76,0,0
477,0,0,0,1000,0,11,2.77,0,0
478,0,0,0,1000,0,11,2.78,0,0
479,0,0,0,1000,0,11,2.79,0,0
480,0,0,0,1000,0,11,2.8,0,0
481,0,0,0,1000,0,11,2.81,0,0
482,0,0,0,1000,0,11,2.82,0,0
483,0,0,0,1000,0,11,2.83,0,0
484,0,0,0,1000,0,11,2.84,0,0
485,0,0,0,1000,0,11,2.85,0,0
486,0,0,0,1000,0,11,2.86,0,0
487,0,0,0,1000,0,11,2.87,0,0
488,0,0,0,1000,0,11,2.88,0,0
489,0,0,0,1000,0,11,2.89,0,0
490,0,0,0,1000,0,11,2.9,0,0
491,0,0,0,1000,0,11,2.91,0,0
492,0,0,0,1000,0,11,2.92,0,0
493,0,0,0,1000,0,11,2.93,0,0
494,0,0,0,1000,0,11,2.94,0,0
495,0,0,0,1000,0,11,2.95,0,0
496,0,0,0,1000,0,11,2.96,0,0
497,0,0,0,1000,0,11,2.97,0,0
498,0,0,0,1000,0,11,2.98,0,0
499,0,0,0,1000,0,11,2.99,0,0
500,0,0,0,1000,0,11,3,0,0
501,0,0,0,1000,0,11,3.01,0,0
502,0,0,0,1000,0,11,3.02,0,0
503,0,0,0,1000,0,11,3.03,0,0
504,0,0,0,1000,0,11,3.04,0,0
505,0,0,0,1000,0,11,3.05,0,0
506,0,0,0,1000,0,11,3.06,0,0
507,0,0,0,1000,0,11,3.07,0,0
508,0,0,0,1000,0,11,3.08,0,0
509,0,0,0,1000,0,11,3.09,0,0
510,0,0,0,1000,0,11,3.1,0,0
511,0,0,0,1000,0,11,3.11,0,0
512,0,0,0,1000,0,11,3.12,0,0
513,0,0,0,1000,0,11,3.13,0,0
514,0,0,0,1000,0,11,3.14,0,0
515,0,0,0,1000,0,11,3.15,0,0
516,0,0,0,1000,0,11,3.16,0,0
517,0,0,0,1000,0,11,3.17,0,0
518,0,0,0,1000,0,11,3.18,0,0
519,0,0,0,1000,0,11,3.19,0,0
520,0,0,0,1000,0,11,3.2,0,0
521,0,0,0,1000,0,11,3.21,0,0
522,0,0,0,1000,0,11,3.22,0,0
523,0,0,0,1000,0,11,3.23,0,0
524,0,0,0,1000,0,11,3.24,0,0
525,0,0,0,1000,0,11,3.25,0,0
526,0,0,0,1000,0,11,3.26,0,0
527,0,0,0,1000,0,11,3.27,0,0
528,0,0,0,1000,0,11,3.28,0,0
529,0,0,0,1000,0,11,3.29,0,0
530,0,0,0,1000,0,11,3.3,0,0
531,0,0,0,1000,0,11,3.31,0,0
532,0,0,0,1000,0,11,3.32,0,0
533,0,0,0,1000,0,11,3.33,0,0
534,0,0,0,1000,0,11,3.34,0,0
535,0,0,0,1000,0,11,3.35,0,0
536,0,0,0,1000,0,11,3.36,0,0
537,0,0,0,1000,0,11,3.37,0,0
538,0,0,0,1000,0,11,3.38,0,0
539,0,0,0,1000,0,11,3.39,0,0
540,0,0,0,1000,0,11,3.4,0,0
541,0,0,0,1000,0,11,3.41,0,0
